"filename", "language", "JSON", "Markdown", "HTML", "Vue", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Utilizador\Documents\VikSoft\markdown-ascii-table-generator\markdown-ascii-table-generator\README.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 6, 25
"c:\Users\Utilizador\Documents\VikSoft\markdown-ascii-table-generator\markdown-ascii-table-generator\babel.config.js", "JavaScript", 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\Utilizador\Documents\VikSoft\markdown-ascii-table-generator\markdown-ascii-table-generator\package-lock.json", "JSON", 11884, 0, 0, 0, 0, 0, 0, 1, 11885
"c:\Users\Utilizador\Documents\VikSoft\markdown-ascii-table-generator\markdown-ascii-table-generator\package.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 0, 46
"c:\Users\Utilizador\Documents\VikSoft\markdown-ascii-table-generator\markdown-ascii-table-generator\public\index.html", "HTML", 0, 0, 16, 0, 0, 0, 1, 1, 18
"c:\Users\Utilizador\Documents\VikSoft\markdown-ascii-table-generator\markdown-ascii-table-generator\src\App.vue", "Vue", 0, 0, 0, 36, 0, 0, 0, 9, 45
"c:\Users\Utilizador\Documents\VikSoft\markdown-ascii-table-generator\markdown-ascii-table-generator\src\assets\global.css", "CSS", 0, 0, 0, 0, 27, 0, 1, 5, 33
"c:\Users\Utilizador\Documents\VikSoft\markdown-ascii-table-generator\markdown-ascii-table-generator\src\components\header.vue", "Vue", 0, 0, 0, 16, 0, 0, 0, 5, 21
"c:\Users\Utilizador\Documents\VikSoft\markdown-ascii-table-generator\markdown-ascii-table-generator\src\components\input\column.vue", "Vue", 0, 0, 0, 45, 0, 0, 0, 21, 66
"c:\Users\Utilizador\Documents\VikSoft\markdown-ascii-table-generator\markdown-ascii-table-generator\src\components\input\index.vue", "Vue", 0, 0, 0, 78, 0, 0, 0, 52, 130
"c:\Users\Utilizador\Documents\VikSoft\markdown-ascii-table-generator\markdown-ascii-table-generator\src\components\input\row.vue", "Vue", 0, 0, 0, 22, 0, 0, 0, 11, 33
"c:\Users\Utilizador\Documents\VikSoft\markdown-ascii-table-generator\markdown-ascii-table-generator\src\components\input\table-calibrator.vue", "Vue", 0, 0, 0, 86, 0, 0, 2, 42, 130
"c:\Users\Utilizador\Documents\VikSoft\markdown-ascii-table-generator\markdown-ascii-table-generator\src\components\input\table-options.vue", "Vue", 0, 0, 0, 129, 0, 0, 3, 56, 188
"c:\Users\Utilizador\Documents\VikSoft\markdown-ascii-table-generator\markdown-ascii-table-generator\src\components\output\index.vue", "Vue", 0, 0, 0, 64, 0, 0, 10, 31, 105
"c:\Users\Utilizador\Documents\VikSoft\markdown-ascii-table-generator\markdown-ascii-table-generator\src\components\output\line.vue", "Vue", 0, 0, 0, 63, 0, 0, 7, 39, 109
"c:\Users\Utilizador\Documents\VikSoft\markdown-ascii-table-generator\markdown-ascii-table-generator\src\main.js", "JavaScript", 0, 0, 0, 0, 0, 10, 2, 10, 22
"c:\Users\Utilizador\Documents\VikSoft\markdown-ascii-table-generator\markdown-ascii-table-generator\src\units\absx.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 6, 12
"c:\Users\Utilizador\Documents\VikSoft\markdown-ascii-table-generator\markdown-ascii-table-generator\src\units\fxnl.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 5, 12
"Total", "-", 11930, 19, 16, 539, 27, 28, 26, 301, 12886
